1,ABBEYBDS,1.86,1.86,-,-,-,1.86,-,-,4,250,438
2,ABCTRANS,0.78,0.78,-,-,-,0.78,-,-,18,"90,197","73,617.36"
3,ACADEMY,1.88,1.88,1.77,1.77,-,1.77,-0.11,-5.85,8,"1,179,030","2,092,044.80"
4,ACCESSCORP,17.2,17.2,17.35,17.2,0.86,17.35,0.15,0.87,224,"4,208,213","72,718,437.10"
5,AFRIPRUD,6.7,6.7,6.6,6.6,-,6.6,-0.1,-1.49,35,"413,107","2,725,645.90"
6,AIICO,0.72,0.72,0.79,0.7,11.39,0.77,0.05,6.94,97,"16,513,360","12,444,711.03"
7,AIRTELAFRI,"1,790.00","1,790.00","1,790.00","1,790.00",-,"1,790.00",-,-,62,"1,313,820","2,351,689,006.50"
8,ALEX,6.5,6.5,-,-,-,6.5,-,-,2,"1,366","9,766.90"
9,BERGER,13.6,13.6,-,-,-,13.6,-,-,31,"588,775","7,666,641.80"
10,BETAGLAS,59.95,59.95,-,-,-,59.95,-,-,9,"64,425","3,479,350.00"
11,BUACEMENT,105,105,107,107,-,107,2,1.9,139,"775,267","79,000,805.85"
12,BUAFOODS,202.8,202.8,-,-,-,202.8,-,-,48,"112,412","21,059,320.00"
13,CADBURY,14.4,14.4,-,-,-,14.4,-,-,23,"54,934","788,563.75"
14,CAP,20,20,-,-,-,20,-,-,4,"9,520","191,378.00"
15,CAVERTON,1.52,1.52,1.41,1.37,2.84,1.37,-0.15,-9.87,30,"1,658,185","2,302,044.20"
16,CHAMPION,3.6,3.6,-,-,-,3.6,-,-,7,"3,081","10,916.93"
17,CHAMS,2.21,2.21,2.19,2,8.68,2.11,-0.1,-4.52,132,"14,030,571","28,718,951.01"
18,CHELLARAM,3.82,3.82,-,-,-,3.82,-,-,3,"27,000","113,097.70"
19,CHIPLC,1.01,1.01,1.03,1,2.91,1.01,-,1.98,21,"1,998,296","2,027,615.35"
20,CILEASING,3.29,3.29,3.34,3.29,1.5,3.34,0.05,1.52,47,"1,657,850","5,277,136.47"
21,CONOIL,80.2,80.2,-,-,-,80.2,-,-,18,"20,740","1,612,031.40"
22,CORNERST,1.44,1.44,1.58,1.58,-,1.58,0.14,9.72,19,"464,809","732,412.04"
23,CUSTODIAN,7,7,-,-,-,7,-,-,18,"61,319","438,242.20"
24,CUTIX,2.22,2.22,2.2,2.2,-,2.2,-0.02,-0.9,30,"1,382,388","3,049,292.58"
25,CWG,8.29,8.29,-,-,-,8.29,-,-,5,"9,230","71,897.30"
26,DAARCOMM,0.23,0.23,0.24,0.24,-,0.24,0.01,4.35,17,"325,910","75,443.40"
27,DANGCEM,328,328,-,-,-,328,-,-,57,"59,311","19,470,747.90"
28,DANGSUGAR,62.2,62.2,-,-,-,62.2,-,-,194,"2,940,077","181,017,818.90"
29,DEAPCAP,0.27,0.27,0.27,0.26,3.7,0.27,-,-3.7,9,"1,908,526","502,284.17"
